21
0.000	81.469	197.254	0.000	0.000	0.000	0.000
0.025	81.672	196.852	0.000	16.274	-32.178	-32.178
0.050	82.282	195.646	0.000	32.559	-64.260	-64.260
0.075	83.097	194.041	0.000	32.604	-64.143	-64.143
0.100	83.913	192.439	0.000	32.697	-64.039	-64.039
0.125	84.732	190.839	0.000	32.866	-63.948	-63.948
0.150	85.557	189.241	0.000	33.161	-63.869	-63.869
0.175	86.392	187.645	0.000	33.692	-63.803	-63.803
0.200	87.246	186.051	0.000	34.732	-63.750	-63.750
0.225	88.140	184.458	0.000	37.116	-63.709	-63.709
0.250	89.140	182.865	0.000	44.570	-63.679	-63.679
0.275	90.652	181.274	0.000	96.250	-63.650	-63.650
0.300	264.697	180.320	0.000	991.334	63.406	63.406
0.325	268.186	181.910	0.000	-3.190	63.664	63.664
0.350	267.780	183.502	0.000	-23.322	63.690	63.690
0.375	267.130	185.095	0.000	-27.833	63.724	63.724
0.400	266.410	186.688	0.000	-29.546	63.770	63.770
0.425	265.660	188.283	0.000	-30.389	63.828	63.828
0.450	264.894	189.880	0.000	-30.876	63.899	63.899
0.475	264.312	191.079	0.000	-15.563	31.980	31.980
0.500	264.118	191.478	0.000	0.000	0.000	0.000
